OrderID,Date,Region,Product,Quantity,Price
1001,2025-04-07,South,Chair,4,3000
1002,2025-04-20,East,Chair,7,3000
1003,2025-01-16,West,Mobile,1,20000
1004,2025-06-12,North,Chair,1,3000
1005,2025-07-06,North,Mobile,2,20000
1006,2025-09-03,East,Table,5,10000
1007,2025-12-26,West,Table,10,10000
1008,2025-11-17,South,Laptop,6,50000
1009,2025-11-20,East,Table,9,10000
1010,2025-04-24,South,Laptop,7,50000
1011,2025-02-01,South,Mobile,3,20000
1012,2025-03-31,North,Table,10,10000
1013,2025-02-10,North,Chair,3,3000
1014,2025-08-15,South,Mobile,1,20000
1015,2025-03-12,North,Mobile,5,20000
1016,2025-09-09,North,Chair,8,3000
1017,2025-06-14,North,Table,7,10000
1018,2025-09-08,South,Mobile,3,20000
1019,2025-04-27,East,Laptop,3,50000
1020,2025-01-27,West,Table,8,10000
1021,2025-01-23,West,Laptop,8,50000
1022,2025-07-20,North,Table,8,10000
1023,2025-11-07,South,Laptop,3,50000
1024,2025-11-17,West,Table,5,10000
1025,2025-09-25,South,Laptop,9,50000
1026,2025-11-02,North,Laptop,10,50000
1027,2025-12-20,West,Laptop,3,50000
1028,2025-11-22,East,Chair,4,3000
1029,2025-01-07,North,Chair,3,3000
1030,2025-03-22,West,Laptop,9,50000
1031,2025-02-27,West,Table,4,10000
1032,2025-06-05,East,Table,2,10000
1033,2025-06-12,South,Chair,5,3000
1034,2025-03-18,South,Mobile,10,20000
1035,2025-05-28,North,Chair,6,3000
1036,2025-06-05,North,Mobile,9,20000
1037,2025-11-03,West,Mobile,10,20000
1038,2025-11-23,West,Mobile,7,20000
1039,2025-05-18,North,Mobile,2,20000
1040,2025-06-17,South,Table,5,10000
1041,2025-04-23,South,Chair,8,3000
1042,2025-07-02,West,Mobile,10,20000
1043,2025-03-04,West,Laptop,3,50000
1044,2025-01-16,East,Laptop,3,50000
1045,2025-07-26,South,Laptop,1,50000
1046,2025-01-24,North,Laptop,5,50000
1047,2025-11-30,East,Laptop,2,50000
1048,2025-06-30,West,Table,9,10000
1049,2025-10-23,East,Mobile,7,20000
1050,2025-08-04,South,Table,7,10000
1051,2025-02-24,East,Mobile,8,20000
1052,2025-03-21,East,Laptop,7,50000
1053,2025-04-26,West,Mobile,8,20000
1054,2025-01-03,East,Mobile,2,20000
1055,2025-09-05,East,Chair,5,3000
1056,2025-03-18,North,Mobile,2,20000
1057,2025-08-10,South,Mobile,3,20000
1058,2025-06-29,South,Laptop,8,50000
1059,2025-10-13,East,Laptop,7,50000
1060,2025-01-19,South,Mobile,6,20000
1061,2025-11-07,South,Laptop,6,50000
1062,2025-10-24,East,Laptop,4,50000
1063,2025-01-24,South,Chair,4,3000
1064,2025-11-02,East,Laptop,10,50000
1065,2025-11-03,North,Table,6,10000
1066,2025-11-10,North,Chair,3,3000
1067,2025-12-05,North,Table,3,10000
1068,2025-05-10,North,Table,7,10000
1069,2025-02-15,West,Laptop,2,50000
1070,2025-02-23,East,Table,4,10000
1071,2025-10-23,West,Mobile,5,20000
1072,2025-10-05,West,Chair,2,3000
1073,2025-11-27,West,Chair,6,3000
1074,2025-05-23,East,Laptop,2,50000
1075,2025-04-19,East,Table,6,10000
1076,2025-10-21,North,Table,9,10000
1077,2025-07-21,West,Table,10,10000
1078,2025-03-05,East,Chair,1,3000
1079,2025-07-08,West,Mobile,9,20000
1080,2025-04-26,East,Table,1,10000
1081,2025-05-28,West,Table,9,10000
1082,2025-01-17,East,Table,1,10000
1083,2025-10-02,East,Table,5,10000
1084,2025-05-13,West,Laptop,1,50000
1085,2025-04-01,South,Table,4,10000
1086,2025-02-04,East,Mobile,1,20000
1087,2025-12-25,West,Table,1,10000
1088,2025-12-24,South,Chair,6,3000
1089,2025-01-29,South,Table,10,10000
1090,2025-04-03,East,Table,9,10000
1091,2025-03-16,West,Laptop,10,50000
1092,2025-07-12,North,Table,9,10000
1093,2025-08-21,East,Chair,8,3000
1094,2025-10-02,North,Laptop,8,50000
1095,2025-10-17,South,Table,5,10000
1096,2025-10-21,East,Table,9,10000
1097,2025-11-28,North,Laptop,1,50000
1098,2025-09-30,South,Chair,8,3000
1099,2025-12-28,East,Table,5,10000
1100,2025-02-27,West,Laptop,2,50000
1101,2025-02-08,South,Mobile,3,20000
1102,2025-04-29,South,Mobile,7,20000
1103,2025-11-04,North,Table,7,10000
1104,2025-05-26,South,Laptop,6,50000
1105,2025-01-05,West,Chair,5,3000
1106,2025-03-02,West,Table,7,10000
1107,2025-03-13,North,Mobile,4,20000
1108,2025-10-03,South,Table,1,10000
1109,2025-04-01,East,Chair,1,3000
1110,2025-01-13,North,Laptop,7,50000
1111,2025-09-22,West,Laptop,3,50000
1112,2025-05-20,North,Mobile,8,20000
1113,2025-08-22,West,Laptop,1,50000
1114,2025-02-22,East,Laptop,9,50000
1115,2025-08-06,South,Chair,5,3000
1116,2025-10-20,West,Chair,9,3000
1117,2025-05-28,North,Laptop,6,50000
1118,2025-09-13,South,Mobile,4,20000
1119,2025-01-17,South,Chair,5,3000
1120,2025-10-07,East,Table,7,10000
1121,2025-05-11,South,Table,6,10000
